validator_pubkey,staker_lamports_diff,validator_lamports_diff
4qvFxnUXYjBdcviCwVV7gKcGJMCENEBfS82hSLJUhyvu,887681058,77189657
4sFsBDei4m7UXwuMeAGVmnJxZe9peJ5tvq581HoT9aH9,120610466,9078207
4tuMshQNpAFpy1YtEHnSsE5EPN1mAT8FevWvn2UPJHNM,1887089221,164094714
51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm,6057803760,673089306
54LAJpkmdovUQPRqE4pyDXHRfHpVJqT5MjwEmAEVBboY,8677222,859044946
55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo,10641040718,925307888
55gncCYVFXYZhjD5a3aemVVtiHaVwfzu2R4axgamGLwV,3986974423,346693428
57SfBPYR4n47Mb6EKW3yAu5tYicUi8bYbui1T4qZ7RYh,1641998,162557785
5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU,114191,9929
5EYp3kCdMLq52vzZ4ucsVyYaaxQe5MKTquxahjXpcShS,1419223280,123410719
5HScvYkTWL9iojhPv26xK7GqB7oBsj9A2qHCeNRFmdyG,195157552,16970221
5RCD4pZcKH3NHN4XHxvsnVAawSaConLgsZbreSN5dXpZ,184677,20519
5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,804221333,69932289
5YMb9HYzBn9Mu2FxDKP9Pa6dUEcniFtwbewpGRu5EmfC,127953932,11126428
5bTe8MuMyP1A1ahXHpAkFrhQybNEQuKgU5QhpnQRKxuQ,2440965367,212257857
5eafxmzReWy8vWRmBcor4oShtQgDwHR3CGGPrfcxdU75,326541826,28394941
5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z,16074955,846050
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,2140557074,237839674
5m3oE8X1HokEpjXJv9eES98JiNuD9yp1T9TDCuxvZZDR,720634145,80070460
5ni6KoVM62cRJNfFFKGdiyDfYbKWWAGZ21cfGZcj1y66,440691568,0
5nscM8QPTf6ggikeRrAuWTa5mEBumXJuWZZBk3uN1auQ,1272933105,110689835
5szskKdH8nfnUuHTvn9hnhH3Xuvo7RVmcDDvD5WD7yNh,300154546,26100395
5tq4wWgnwRiJVU6nakZrBCZJ63pMEZJxmVrL2WnZ6yQv,280355809,24378765
5vfEHBMSCTkR41GeKLyLb6ua6dd632eCpEXYC4YzG5df,1315687333,99030229
5wYHvcKbCHPsT9dhEZaVZzoVY1qA7bosKRzKczpcaXpq,235935965,20516170
5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z,161,14
644K33yWfSzc32VvY5fRUfUqphw8LTaLQntCkyEpJ8h7,566741717,56051378
6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,1698718380,136741782
6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9,87660581765,7622659283
6F4gdYb1sqHGMeFaeEcqt8N6S2anHre2BkZM7QWo8r6N,648971320,0
6GLn8ZzDkScvhvESCFPvk71Vr1EuGdbeZoE54zZBqAqf,143220,12453
6GoijNiK3JZVAY96ykCfPhcJnrQfrQMLvrQaX5HyMVhu,82656832,9184092
6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ,451515771,50168419
6SQJfKXxqacQpYmCNtqvabV6kfHrPGqXm9q2iH7zsied,303337378,26377163
6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,131213704,14579300
6UDU4Z9TTbYy8gcRKBd7RX3Lm2qMsSR4PMuzoyYPzLma,634250045,51351560
6ZDsQFqdBNmcLho9KLv4M3ggzHxAh8G1EdR6DCjajPvK,356858549,31031178
6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ,1684814607,146505617
6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs,8902753182,774152450
6fiUHL6s3iGgp19H7PfbEuJGgu4LQsWMu625fya16xgb,335563175,29179406
6hkfqeNAbURk7CmAQsP4Qm6WwHVF4LxHupEvQf7Tkrf1,946285389,82285685
6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh,11706287357,1017938030
6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b,2672069017,232353827
6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx,14877404228,1293687324
71mmEPyitXLyMeZBTd2YU6NahVSYwgJaK2DRMHvb4HUC,285868912,24858166
725My2yzg5ZUpQtpEtivLT7JmRes2gGxF3KeGCbYACDe,47063,470576425
72i2i4D7ehg7k3rKUNZLFiHqvhVFv1UvdCQbiNTFudJa,284059426,24700819
74DQRGa4oqepMGcz96obZvw5gJPEPwaPa9MTqbAfBi9F,312481633,34720181
74UYnazXV25u3SCTsx6AHfPak8nennsxYTMhaeHbvuE6,321117115,27923227
76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,1191670319,103623506
7A9NSA1SZrszosi37WHSYARjAc3JuXxVqg3q94xjtpM3,192762725,16761976
7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N,105942983,9212433
7Eg46UwGgsufXdd9C9kF27UAyD2t4VdmCdVTtPFoqxCy,280609420,31178824
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,2530193340,2530193340
7MMhQedcxv1ZLMthZsDtPYy14reJMYF1FbBVMba2FGK2,182911985,20323553
7VGU4ZwR1e1AFekqbqv2gvjeg47e1PwMPm4BfLt6rxNk,831989483,72346911
7XTz9RDt9gbckonUUYvzQ8q3Pfdo36oiQsreXsHhNFzj,187131327,16272289
7wqiBhRVEkbV3A8LbR9W1eNb5s27CBwoRCVro1okB6ew,5313898109,462078096
86Sw9R6ynPmXnHfwUWinXtq1QoF2KHesfQQyZG5r8sXo,148274222,12893410
86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6,20887049181,1816265146
8AKJkPw4d2XXXy1fjQPvty9ModNrNaqdJJb9ifi7iXAX,408066394,4121882
8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P,1165949600,0
8EfUy8zz6DF2iTMQCUe4QAnoq4jVUzfU1yvZMCr2yJ7m,188179777,16363458
8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh,482905915,41991818
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,103173291,8971590
8HR5rCobbFMDe5EbgKdJLNDWVCeGG79w837BUxtsCngs,1175353166,102204623
8LFBopVbvVJ4RqDaheie99P5jK7jrSm99t2F77jBwdFc,152411368,13253162
8PMeDKfxUKv4KJBBQJYPmfyZfoYYnMju6fnokRR9uT2w,212622086,18488877
8RDsLp5kLZEt2swpKne8JuZAN6PFRX1ak29Hci2DT1Xa,569575952,49528343
8ZvTbWfA7txjkNubA9jnv8CWQtwbaZSzpf7vaDDcxMr5,134524908,7080258
8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,860784946,95642771
8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf,125529957,9448491
8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW,5403358796,469857286
8vT4MgBeZQmYN44DXwHd2BLM7Z6io186nJk3FQEwy58f,304233,26454
8yPiZWMNYMhEqTmPSRc6LsWLFC8pewYEzmgc5kRCLTrZ,1024898560,0
91ciyr81FJnZaoWcDT4PHwwdzgNp21cgH354JbCuxnwR,406295629,12565844
97im1Mxgn8FFcwhoVoqgGc7QegAokpQS2sxzrPVggKA3,290464448,25257778
9BUaTrUWHVpwq4mN5YTWLD5cYy3UtyRSwzg5v2hyNFNm,56081786,6231309
9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs,3249107522,282531088
9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,2517378488,218902477
9H7v1rB2tkPUaFmW6BMNV47Qpj63crPTzmhVgpQAmz9Y,863704228,95967136
9KCBBdzx4cGZg14YaqBuZd1tGUvo9ohYnW7KEqQes1E1,1462983816,127215983
9LSRBLpJMpejUeqmhVmwjHBVrptoCtbX6xWvx9qMmJcR,158982262,370958609
9Lp7PzvKVMhjqyQfJwxyha5P6thNWMmVDuVVyqqSaK7b,368063125,32005489
9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,18417140598,1601490486
9V3mbi8z9MHicFQN9n9CGEMfuX4yKaBjJNuzyTUxaWXi,157211279,13670546
9esjPxaUdD7yg4yDrBkP3jLipcAGVjpLDXsddF89avzW,978369,96858483
9f6sqJ9JvWm2eMC4D2bTRqjkkrzYQ8bzoUJvffmkkKL9,459291308,45424414
9fQPHLhdbxiVCM8y5vNShMheCsQtk4Qp44qSSE45BSBm,853,84372
9gANMngbGUmAaLXL1RC3JdiaLjRowJXNbzCTh53ht7mq,392987991,43665332
9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw,6145516786,323448251
9mg9SH69itqkRdy1CudMforH3ju7uR3K8GH8esGx4Mfx,837367816,72814592
9o4Y8WvRisPxEpuo4sZBq1CtfNsYanzp87bSgeYuGf3R,176537449,15351082
9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk,904466318,47603490
9vNLTLdwAdHw8EdiZrLzDtUpm3hp7E2MGaNi6SmdfBGz,371441902,32299295
9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH,1373519613,119436488
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,524767763,45631979
A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,38831978,4314664
A3sMR7KhVkjheCiaNbDSTAMzgiyRE3Ewm2n26C7iav7y,1161342685,100986320
A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg,1493782465,129894127
A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo,7207264824,626718680
AE6xdVD5e92ZgevjWAamoF5kuAu88AvmUv4RRdBcoyz3,891175236,77493498
ALiQdX94fYbGUt8ar6chuAN1nj8g8bKSgJ7qV3W7bPsS,3822337366,332377162
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,4308614400,374662121
ASfKFAKz6fH4eip1jdLGt5Ym954kU9KYnwq2Csn9ogSz,197298826,17156419
ASrBTnxfvt8uY164wRrM9xXP925yoHzoRBnVYU5s7DEs,4577429,398037
AXA7ztxJGz77RHmocYQ6MEbPYHbpc3TmhtQqZGrdzqo1,257524728,13553933
AY271jdvcyo5VzBiWsMGLEjpZFFrarq8FDydJHLmYgCG,275018109,23914618
AZu19pqPb66L5stguwCDEaGoKHBXDr2xzyPyoWxmx3MU,179060455,19895606
Ac1beBKixfNdrTAac7GRaTsJTxLyvgGvJjvy4qQfvyfc,582579,50658
AddV9GtVTtepbNa7MBNDx81wTMRgnXf8nzhRuyinVab5,443313059,38548961
AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,349484991,30389999
Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR,6715493667,746165962
AmDHRdGGHijAoPGr5p5spysfwms3otXjJ2M7TYuqmwGA,1295664,128270713
AnoFcEWKt7j9UuyvuNsJDbaRPrfo5LqpjvbxqQPswxn4,294691918,25625384
Ap9QwurB2Jvj7uuFjyXsdWaRryFJQFdNttHZ9TB3W2bV,135235009,11759565
Atw2Wond9H3DHfgg5NGqi4dxMwF3Nrgdhm39x2oK8MCW,44839518,0
AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,2569050186,223395668
Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN,44275878,4919542
C9YVc5dBPRbmyi8tPJKnrBuVwXeULby1eGXWvUVv866a,1074323600,119369288
CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY,2949596753,256486674
CJ1GZixWD1WzozqZMm3v9dY2xboRYZfQuuEHzawAthen,14251425,750074
CT2CzbiNRz8ccgWQZR4BN7cpm3rDyWyQxUf5MNbMom7n,671807978,58418085
CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9,1164445618,101256140
CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb,1236739828,0
CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,29084555180,2189160067
CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu,8871223086,985691454
Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE,3932257493,3932257493
Cn9bZCGSYN57GsTfJ5YLCy8HMejHZqrBQkv99eusJtEH,53687114,4040965
CqSMzh8DWZeqYVa5M1V1rHU825T19NCjYipM3pkdHncm,1212525570,119920111
CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ,701454272,36918645
CsfWHXyL85Ur2vsfJcxg8advGyfFa6FbCWMX22qbsqmk,741433819,64472506
Csp2hDVRX4cRitFEswJJcoH9ju4rcPUSsqU9pkh5JBQU,33738021,2933740
CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8,9956295500,865764826
